Structure,Date,Time,FishID
CIN,8/25/2020,18:40:30,900_228000281401
CIN,8/25/2020,18:43:13,900_228000281401
CIN,8/25/2020,18:43:15,900_228000281401
CIN,8/25/2020,18:43:16,900_228000281401
CIN,8/25/2020,18:43:16,900_228000281401
CIN,8/25/2020,18:43:17,900_228000281401
CIN,8/25/2020,18:43:20,900_228000281401
CIN,8/25/2020,18:45:16,900_228000281401
CIN,8/25/2020,18:45:18,900_228000281401
CIN,8/25/2020,18:45:18,900_228000281401
CIN,8/25/2020,18:45:19,900_228000281401
CIN,8/25/2020,18:45:21,900_228000281401
CIN,8/25/2020,18:45:21,900_228000281401
CIN,8/25/2020,18:45:22,900_228000281401
CIN,8/25/2020,18:45:28,900_228000281401
CIN,8/25/2020,19:03:37,900_228000281401
CIN,8/25/2020,20:00:38,900_228000281401
CIN,8/25/2020,20:00:38,900_228000281401
CIN,8/25/2020,20:00:38,900_228000281401
CIN,8/25/2020,20:00:39,900_228000281401
CIN,8/25/2020,20:00:39,900_228000281401
CIN,8/25/2020,20:01:30,900_228000281401
CIN,8/25/2020,20:01:34,900_228000281401
CIN,8/25/2020,20:02:27,900_228000281401
CIN,8/25/2020,20:02:28,900_228000281401
CIN,8/25/2020,20:41:56,900_228000281401
CIN,8/25/2020,20:41:59,900_228000281401
CIN,8/25/2020,20:41:59,900_228000281401
CIN,8/25/2020,20:42:00,900_228000281401
CIN,8/25/2020,20:42:12,900_228000281401
CIN,8/25/2020,20:42:12,900_228000281401
CIN,8/25/2020,20:42:14,900_228000281401
CIN,8/25/2020,20:42:22,900_228000281401
CIN,8/25/2020,20:42:22,900_228000281401
CIN,8/25/2020,20:42:22,900_228000281401
CIN,8/25/2020,20:42:22,900_228000281401
CIN,8/25/2020,20:42:23,900_228000281401
CIN,8/25/2020,20:42:23,900_228000281401
CIN,8/25/2020,20:42:23,900_228000281401
CIN,8/25/2020,20:42:24,900_228000281401
CIN,8/25/2020,20:42:26,900_228000281401
CIN,8/25/2020,20:42:30,900_228000281401
CIN,8/25/2020,20:42:30,900_228000281401
CIN,8/25/2020,20:42:30,900_228000281401
CIN,8/25/2020,20:42:30,900_228000281401
CIN,8/25/2020,20:42:32,900_228000281401
CIN,8/25/2020,20:42:33,900_228000281401
CIN,8/25/2020,20:42:33,900_228000281401
CIN,8/25/2020,20:42:44,900_228000281401
CIN,8/25/2020,20:42:54,900_228000281401
CIN,8/25/2020,20:42:54,900_228000281401
CIN,8/25/2020,20:42:55,900_228000281401
CIN,8/25/2020,20:42:55,900_228000281401
CIN,8/25/2020,20:42:56,900_228000281401
CIN,8/25/2020,20:42:57,900_228000281401
CIN,8/25/2020,20:42:59,900_228000281401
CIN,8/25/2020,20:42:59,900_228000281401
CIN,8/25/2020,20:43:03,900_228000281401
CIN,8/25/2020,20:43:10,900_228000281401
CIN,8/25/2020,20:43:11,900_228000281401
CIN,8/25/2020,20:43:11,900_228000281401
CIN,8/25/2020,20:43:12,900_228000281401
CIN,8/25/2020,20:43:22,900_228000281401
CIN,8/25/2020,20:43:30,900_228000281401
CIN,8/25/2020,20:52:55,900_228000281401
CIN,8/25/2020,20:53:04,900_228000281401
CIN,8/25/2020,20:53:05,900_228000281401
CIN,8/25/2020,20:53:06,900_228000281401
CIN,8/25/2020,20:53:09,900_228000281401
CIN,8/25/2020,20:53:09,900_228000281401
CIN,8/25/2020,20:53:10,900_228000281401
CIN,8/25/2020,20:53:11,900_228000281401
CIN,8/25/2020,20:53:11,900_228000281401
CIN,8/25/2020,20:53:14,900_228000281401
CIN,8/25/2020,20:53:15,900_228000281401
CIN,8/25/2020,20:53:15,900_228000281401
CIN,8/25/2020,20:53:15,900_228000281401
CIN,8/25/2020,20:53:16,900_228000281401
CIN,8/25/2020,20:53:17,900_228000281401
CIN,8/25/2020,20:53:17,900_228000281401
CIN,8/25/2020,20:53:20,900_228000281401
CIN,8/25/2020,20:53:20,900_228000281401
CIN,8/25/2020,20:53:22,900_228000281401
CIN,8/26/2020,5:22:09,900_228000281401
CIN,8/26/2020,5:22:10,900_228000281401
CIN,8/26/2020,5:22:11,900_228000281401
CIN,8/26/2020,5:22:15,900_228000281401
CIN,8/26/2020,5:22:16,900_228000281401
CIN,8/26/2020,5:22:17,900_228000281401
CIN,8/26/2020,5:22:19,900_228000281401
CIN,8/26/2020,5:22:19,900_228000281401
